#mGo	mLSP	Total	TotGenW	CountsSMS	GenWeightSMS
1300	750	1909780	1909780.0	100698	100698.0
#mGo	mLSP	Total	TotGenW	CountsSMS	GenWeightSMS
1350	900	1928452	1928452.0	101209	101209.0
1350	50	1928452	1928452.0	101115	101115.0
1375	1000	1928452	1928452.0	152589	152589.0
1350	550	1928452	1928452.0	101452	101452.0
1350	700	1928452	1928452.0	101998	101998.0
1350	650	1928452	1928452.0	101093	101093.0
1350	800	1928452	1928452.0	101626	101626.0
1350	350	1928452	1928452.0	101647	101647.0
1350	500	1928452	1928452.0	101248	101248.0
1350	450	1928452	1928452.0	101707	101707.0
1350	600	1928452	1928452.0	101841	101841.0
1350	850	1928452	1928452.0	101161	101161.0
1350	950	1928452	1928452.0	152354	152354.0
1375	1025	1928452	1928452.0	152754	152754.0
1350	975	1928452	1928452.0	151608	151608.0
1350	400	1928452	1928452.0	101686	101686.0
1350	750	1928452	1928452.0	101364	101364.0
#mGo	mLSP	Total	TotGenW	CountsSMS	GenWeightSMS
1375	1075	1057949	1057949.0	152874	152874.0
1375	1125	1057949	1057949.0	153283	153283.0
1375	975	1057949	1057949.0	140649	140649.0
1375	1050	1057949	1057949.0	152604	152604.0
1375	1100	1057949	1057949.0	153318	153318.0
1375	950	1057949	1057949.0	152493	152493.0
1375	1150	1057949	1057949.0	152728	152728.0
#mGo	mLSP	Total	TotGenW	CountsSMS	GenWeightSMS
1400	350	2052880	2052880.0	102607	102607.0
1400	1075	2052880	2052880.0	154066	154066.0
1400	200	2052880	2052880.0	102776	102776.0
1400	1150	2052880	2052880.0	154107	154107.0
1400	400	2052880	2052880.0	102571	102571.0
1400	1125	2052880	2052880.0	154083	154083.0
1400	250	2052880	2052880.0	102587	102587.0
1400	100	2052880	2052880.0	102774	102774.0
1400	1000	2052880	2052880.0	153545	153545.0
1400	1175	2052880	2052880.0	154034	154034.0
1400	300	2052880	2052880.0	102966	102966.0
1400	1025	2052880	2052880.0	153793	153793.0
1400	150	2052880	2052880.0	102531	102531.0
1400	0	2052880	2052880.0	102885	102885.0
1400	1100	2052880	2052880.0	154011	154011.0
1400	1050	2052880	2052880.0	153544	153544.0
#mGo	mLSP	Total	TotGenW	CountsSMS	GenWeightSMS
1425	1000	1997487	1997487.0	154832	154832.0
1425	1075	1997487	1997487.0	154979	154979.0
1400	50	1997487	1997487.0	102589	102589.0
1400	850	1997487	1997487.0	98059	98059.0
1400	700	1997487	1997487.0	102175	102175.0
1400	550	1997487	1997487.0	102827	102827.0
1425	1025	1997487	1997487.0	155567	155567.0
1400	900	1997487	1997487.0	98107	98107.0
1400	750	1997487	1997487.0	102290	102290.0
1400	600	1997487	1997487.0	102201	102201.0
1400	450	1997487	1997487.0	103130	103130.0
1425	1100	1997487	1997487.0	155304	155304.0
1425	1050	1997487	1997487.0	155099	155099.0
1400	950	1997487	1997487.0	102901	102901.0
1400	800	1997487	1997487.0	102168	102168.0
1400	650	1997487	1997487.0	102706	102706.0
1400	500	1997487	1997487.0	102553	102553.0
#mGo	mLSP	Total	TotGenW	CountsSMS	GenWeightSMS
1425	1125	2061506	2061506.0	154730	154730.0
1450	1125	2061506	2061506.0	155599	155599.0
1450	1150	2061506	2061506.0	156007	156007.0
1450	100	2061506	2061506.0	103629	103629.0
1450	200	2061506	2061506.0	100273	100273.0
1450	1075	2061506	2061506.0	155853	155853.0
1450	1050	2061506	2061506.0	155856	155856.0
1425	1150	2061506	2061506.0	151395	151395.0
